iter	Passed	Remaining
626	9274	5517
627	9280	5497
628	9294	5482
629	9303	5463
630	9311	5445
631	9318	5426
632	9324	5406
633	9332	5387
634	9342	5370
635	9348	5350
636	9354	5330
637	9360	5310
638	9366	5291
639	9371	5271
640	9376	5251
641	9389	5236
642	9401	5219
643	9408	5201
644	9414	5181
645	9419	5161
646	9429	5144
647	9438	5127
648	9529	5153
649	9545	5140
650	9559	5124
651	9573	5109
652	9581	5091
653	9587	5072
654	9592	5052
655	9598	5033
656	9706	5067
657	9711	5047
658	9722	5030
659	9728	5011
660	9736	4993
661	9770	4988
662	9778	4970
663	9788	4953
664	9796	4935
665	9802	4915
666	9808	4896
667	9815	4878
668	9822	4859
669	9828	4840
670	9833	4821
671	9840	4802
672	9847	4784
673	9852	4765
674	9858	4746
675	9862	4727
676	9868	4708
677	9876	4690
678	9881	4671
679	9888	4653
680	9897	4636
681	9902	4617
682	9907	4598
683	9915	4580
684	9923	4563
685	9931	4545
686	9936	4527
687	9951	4512
688	9956	4494
689	10064	4521
690	10071	4503
691	10076	4485
692	10082	4466
693	10093	4450
694	10113	4438
695	10118	4419
696	10123	4400
697	10128	4382
698	10134	4363
699	10166	4357
700	10171	4338
701	10178	4320
702	10185	4303
703	10192	4285
704	10226	4279
705	10238	4263
706	10246	4246
707	10252	4228
708	10259	4210
709	10265	4193
710	10271	4174
711	10278	4157
712	10286	4140
713	10294	4123
714	10303	4106
715	10308	4088
716	10315	4071
717	10321	4053
718	10329	4037
719	10337	4020
720	10344	4003
721	10349	3985
722	10377	3975
723	10383	3958
724	10481	3975
725	10487	3958
726	10498	3942
727	10551	3942
728	10565	3927
729	10576	3911
730	10585	3895
731	10590	3877
732	10598	3860
733	10613	3846
734	10619	3828
735	10627	3812
736	10635	3795
737	10642	3778
738	10647	3760
739	10656	3744
740	10661	3726
741	10692	3717
742	10715	3706
743	10720	3688
744	10728	3672
745	10733	3654
746	10741	3638
747	10748	3621
748	10759	3605
749	10765	3588
750	10771	3571
751	10777	3554
752	10784	3537
753	10789	3520
754	10795	3503
755	10801	3486
756	10809	3469
757	10816	3453
758	10824	3436
759	10829	3419
760	10834	3402
761	10872	3395
762	10878	3379
763	10884	3362
764	10890	3345
765	10898	3329
766	10909	3314
767	10919	3298
768	10925	3281
769	10932	3265
770	10938	3248
771	10946	3232
772	10951	3216
773	10965	3201
774	10970	3185
775	10982	3170
776	10989	3154
777	10996	3137
778	11003	3121
779	11008	3105
780	11014	3088
781	11021	3072
782	11035	3058
783	11041	3042
784	11047	3025
785	11070	3014
786	11077	2998
787	11083	2981
788	11090	2965
789	11096	2949
790	11101	2933
791	11111	2918
792	11119	2902
793	11129	2887
794	11134	2871
795	11148	2857
796	11153	2840
797	11160	2825
798	11168	2809
799	11173	2793
800	11180	2777
801	11195	2763
802	11302	2772
803	11310	2757
804	11317	2741
805	11323	2725
806	11328	2709
807	11334	2693
808	11339	2677
809	11344	2661
810	11350	2645
811	11356	2629
812	11364	2613
813	11386	2601
814	11395	2586
815	11400	2570
816	11415	2556
817	11421	2541
818	11426	2525
819	11434	2509
820	11444	2495
821	11453	2480
822	11459	2464
823	11468	2449
824	11474	2433
825	11504	2423
826	11516	2409
827	11523	2393
828	11533	2379
829	11540	2363
830	11547	2348
831	11553	2332
832	11558	2317
833	11567	2302
834	11599	2292
835	11608	2277
836	11651	2269
837	11661	2254
838	11674	2240
839	11685	2225
840	11689	2210
841	11695	2194
842	11700	2179
843	11707	2163
844	11713	2148
845	11721	2133
846	11732	2119
847	11789	2113
848	11798	2098
849	11806	2083
850	11918	2086
851	11928	2072
852	11935	2056
853	11944	2041
854	11950	2026
855	11957	2011
856	11961	1995
857	11970	1981
858	11977	1966
859	11985	1951
860	11993	1936
861	11998	1920
862	12007	1906
863	12019	1891
864	12027	1877
865	12034	1862
866	12039	1846
867	12046	1831
868	12052	1816
869	12058	1801
870	12080	1789
871	12086	1774
872	12091	1759
873	12097	1744
874	12112	1730
875	12119	1715
876	12127	1700
877	12135	1686
878	12140	1671
879	12148	1656
880	12167	1643
881	12175	1628
882	12281	1627
883	12292	1612
884	12298	1598
885	12305	1583
886	12311	1568
887	12318	1553
888	12338	1540
889	12346	1525
890	12352	1511
891	12358	1496
892	12367	1481
893	12374	1467
894	12381	1452
895	12388	1437
896	12393	1423
897	12398	1408
898	12403	1393
899	12408	1378
900	12413	1363
901	12421	1349
902	12427	1334
903	12436	1320
904	12446	1306
905	12451	1291
906	12460	1277
907	12465	1263
908	12485	1249
909	12591	1245
910	12703	1241
911	12715	1226
912	12722	1212
913	12728	1197
914	12735	1183
915	12742	1168
916	12748	1153
917	12754	1139
918	12761	1124
919	12767	1110
920	12772	1095
921	12779	1081
922	12787	1066
923	12792	1052
924	12801	1037
925	12808	1023
926	12818	1009
927	12825	995
928	12831	980
929	12836	966
930	12841	951
931	12863	938
932	12871	924
933	12880	910
934	12886	895
935	12894	881
936	12902	867
937	12910	853
938	12919	839
939	12940	825
940	12945	811
941	12953	797
942	12958	783
943	12963	769
944	12969	754
945	12976	740
946	12982	726
947	12988	712
948	13009	699
949	13014	684
950	13066	673
951	13072	659
952	13079	645
953	13085	630
954	13093	616
955	13107	603
956	13119	589
957	13132	575
958	13141	561
959	13147	547
960	13153	533
961	13164	520
962	13179	506
963	13185	492
964	13193	478
965	13201	464
966	13205	450
967	13215	436
968	13221	422
969	13227	409
970	13233	395
971	13238	381
972	13262	368
973	13274	354
974	13281	340
975	13285	326
976	13291	312
977	13299	299
978	13306	285
979	13316	271
980	13325	258
981	13336	244
982	13346	230
983	13352	217
984	13389	203
985	13404	190
986	13409	176
987	13417	162
988	13421	149
989	13428	135
990	13437	122
991	13514	108
992	13519	95
993	13600	82
994	13607	68
995	13616	54
996	13624	40
997	13633	27
998	13639	13
999	13645	0
